Index,Station_ID,Station_Name_Caps,Station_Codes,Latitude,Longitude,Train_Type,Station_Name,Full_Station_Name
37,39,LAKESIDE MRT STATION,EW26,1.344259249394697,103.7209492684787,MRT,Lakeside,Lakeside MRT Station
38,40,TANAH MERAH MRT STATION,EW4/CG,1.327187134538356,103.9463464606227,MRT,Tanah Merah,Tanah Merah MRT Station
39,41,YIO CHU KANG MRT STATION,NS15,1.381756046113004,103.8449472897542,MRT,Yio Chu Kang,Yio Chu Kang MRT Station
40,42,OASIS LRT STATION,PE6,1.402286677493708,103.9127273556308,LRT,Oasis,Oasis LRT Station
41,43,SAM KEE LRT STATION,PW1,1.409612685086607,103.9048315505186,LRT,Sam Kee,Sam Kee LRT Station
42,44,FARMWAY LRT STATION,SW2,1.397170196458043,103.8893048104357,LRT,Farmway,Farmway LRT Station
43,45,KUPANG LRT STATION,SW3,1.398212828397176,103.8812562219742,LRT,Kupang,Kupang LRT Station
44,46,RENJONG LRT STATION,SW8,1.386723921528000,103.8905394271551,LRT,Renjong,Renjong LRT Station
45,47,BUKIT PANJANG LRT STATION,BP6,1.377909897982203,103.7630136337854,LRT,Bukit Panjang,Bukit Panjang LRT Station
46,48,FAJAR LRT STATION,BP10,1.384520796175224,103.7708085825086,LRT,Fajar,Fajar LRT Station
47,50,PUNGGOL LRT STATION,PTC,1.404546727787948,103.9020726384069,LRT,Punggol,Punggol LRT Station
48,51,SAMUDERA LRT STATION,PW4,1.415901719438768,103.9021563163908,LRT,Samudera,Samudera LRT Station
49,52,NIBONG LRT STATION,PW5,1.411870458453227,103.9003138176732,LRT,Nibong,Nibong LRT Station
50,53,SOO TECK LRT STATION,PW7,1.405088584853964,103.8972096503174,LRT,Soo Teck,Soo Teck LRT Station
51,54,KADALOOR LRT STATION,PE5,1.399584852761109,103.9164866619733,LRT,Kadaloor,Kadaloor LRT Station
52,55,CORAL EDGE LRT STATION,PE3,1.393909226117486,103.9125808548093,LRT,Coral Edge,Coral Edge LRT Station
53,56,THANGGAM LRT STATION,SW4,1.397318154995222,103.8756351564557,LRT,Thanggam,Thanggam LRT Station
54,57,KEAT HONG LRT STATION,BP3,1.378602765983026,103.7490555193993,LRT,Keat Hong,Keat Hong LRT Station
55,58,DAMAI LRT STATION,PE7,1.405234836171991,103.9086035436443,LRT,Damai,Damai LRT Station
56,59,COVE LRT STATION,PE1,1.399281985019933,103.9059619440764,LRT,Cove,Cove LRT Station
57,60,RIVIERA LRT STATION,PE4,1.394524495769012,103.9161660589877,LRT,Riviera,Riviera LRT Station
58,61,SENJA LRT STATION,BP13,1.382692295824161,103.7623672259505,LRT,Senja,Senja LRT Station
59,62,JELAPANG LRT STATION,BP12,1.386703025013921,103.7645033381588,LRT,Jelapang,Jelapang LRT Station
60,63,PETIR LRT STATION,BP7,1.377750333817221,103.7666689602230,LRT,Petir,Petir LRT Station
61,64,TECK WHYE LRT STATION,BP4,1.376684679443907,103.7537122321994,LRT,Teck Whye,Teck Whye LRT Station
62,65,CHOA CHU KANG LRT STATION,BP1,1.384836359965826,103.7445537312411,LRT,Choa Chu Kang,Choa Chu Kang LRT Station
63,66,SOUTH VIEW LRT STATION,BP2,1.380298287217282,103.7452918000423,LRT,South View,South View LRT Station
64,67,LAYAR LRT STATION,SW6,1.392079838772599,103.8800296003496,LRT,Layar,Layar LRT Station
65,68,KANGKAR LRT STATION,SE4,1.383978901833539,103.9021739887658,LRT,Kangkar,Kangkar LRT Station
